Geneid,Entity,Symbol,0_R1,0_R2,0_R3,6_R1,6_R2,6_R3,12_R1,12_R2,12_R3,18_R1,18_R2,18_R3,Temporal_Class
gene-PA3733a,host,gene-PA3733a,5.44673737166631,5.641907070938114,5.908082938168931,5.0238805208462765,5.846438775057725,5.187385805840755,4.174387269895637,4.727387818712341,4.605170185988092,4.770684624465665,4.836281906951478,5.220355825078324,early
gene-PA2175,host,gene-PA2175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,early
gene-PA3190,host,gene-PA3190,6.18826412308259,6.111467339502679,6.331501849893691,4.983606621708336,4.812184355372417,5.82600010738045,4.8283137373023015,4.574710978503383,6.472346294500901,5.0106352940962555,4.727387818712341,5.932245187448011,middle
gene-PA3483,host,gene-PA3483,6.492239835020471,6.484635235635252,6.450470422144176,6.206575926724928,7.095893221097532,7.261927092702751,6.558197802812269,6.881411303642535,7.0925737159746784,6.591673732008658,6.925595197110468,7.331714969726466,late
gene-PA3519,host,gene-PA3519,2.8903717578961645,4.430816798843313,3.9512437185814275,3.4657359027997265,4.356708826689592,3.8066624897703196,3.1780538303479458,3.8918202981106265,2.995732273553991,3.2188758248682006,3.4339872044851463,3.1354942159291497,early
gene-PA1737,host,gene-PA1737,5.700443573390687,6.825460036255307,6.3818160174060985,5.8998973535824915,6.551080335043404,5.560681631015528,5.869296913133774,6.263398262591624,5.37989735354046,6.874198495453294,7.118826249062078,5.886104031450156,late
gene-PA3070,host,gene-PA3070,7.136483208590247,7.853216388156072,7.419979923661835,6.90975328164481,7.527255919373784,7.00850518208228,6.577861357721047,7.023758954738443,7.05617528410041,6.71295620067707,7.072421900537371,7.063903961472068,early
gene-PA1340,host,gene-PA1340,5.4510384535657,6.118097198041348,5.749392985908253,5.43372200355424,5.802118375377063,6.192362489474872,4.836281906951478,5.393627546352362,7.171656822768514,4.718498871295094,5.402677381872279,6.673297967767654,middle
gene-PA5359,host,gene-PA5359,6.07073772800249,6.870053411798126,6.47543271670409,5.631211781821365,6.342121418721152,5.793013608384144,5.214935757608986,5.634789603169249,5.805134968916488,5.655991810819852,5.768320995793772,5.713732805509369,early
gene-PA2165,host,gene-PA2165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,middle
gene-PA2211,host,gene-PA2211,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,early
gene-PA0173,host,gene-PA0173,3.5553480614894135,4.867534450455582,3.8066624897703196,3.7376696182833684,4.672828834461906,3.367295829986474,2.3978952727983707,4.0943445622221,2.995732273553991,2.4849066497880004,3.6109179126442243,3.295836866004329,early
gene-PA0805,host,gene-PA0805,,,,,,,,,,,,,early
gene-PA0267,host,gene-PA0267,5.831882477283517,5.937536205082426,6.159095388491933,5.703782474656201,6.699500340161678,6.293419278846481,5.484796933490655,6.115892125483034,6.042632833682381,5.605802066295998,5.869296913133774,5.991464547107982,early
gene-PA1758,host,pabB,6.139884552226255,6.835184586147301,6.476972362889683,6.220590170099739,6.9930151229329605,6.728628613084702,5.950642552587727,6.684611727667927,6.501289670540389,5.973809611869261,6.393590753950631,6.490723534502507,early
gene-PA3099,host,xcpV,4.787491742782046,5.4638318050256105,5.075173815233827,4.983606621708336,5.929589143389895,5.056245805348308,4.6443908991413725,5.293304824724492,5.0369526024136295,4.605170185988092,5.147494476813453,5.521460917862246,early
gene-PA4998,host,gene-PA4998,6.329720905522696,6.822197390620491,6.967909201801884,6.895682697747868,7.690286020676768,7.186144304522325,6.470799503782602,7.307202314764738,7.027314514039777,6.421622267806518,6.9411900550683745,7.061334366910438,early
gene-PA5304,host,dadA,,,,6.97914527506881,7.585788821732034,6.866933284461882,6.90875477931522,6.302618975744905,7.206377291472252,,7.498869733976931,6.456769655572163,early
gene-PA1279,host,cobU,6.030685260261263,6.09807428216624,5.8916442118257715,5.71042701737487,5.730099782973574,5.062595033026967,5.545177444479562,5.407171771460119,6.1463292576688975,6.075346031088684,6.289715570908998,6.322565239927284,late
gene-PA2419,host,gene-PA2419,3.8918202981106265,4.31748811353631,4.454347296253507,3.6635616461296463,3.9512437185814275,3.9318256327243257,3.258096538021482,3.6635616461296463,4.060443010546419,3.6635616461296463,3.713572066704308,3.6375861597263857,early
gene-PA0799,host,gene-PA0799,6.448889394146858,6.813444599510896,6.723832440821209,6.5337888379333435,7.385851078125209,7.191429330036379,6.508769136971682,7.0825485693553,7.036148493750536,6.61338421837956,6.96979066990159,6.996681488176539,early
gene-PA4245,host,rpmD,,,,,,,,,,,,,early
