Geneid,5_R1,5_R2,15_R1,15_R2,35_R1,35_R2,Entity,Symbol
gene-PHIKZ067,12,19,1769,1021.0,254.0,611.0,phage,gene-PHIKZ067
gene-PHIKZ060,95,82,366,239.0,32.0,140.0,phage,gene-PHIKZ060
gene-PHIKZ_p63,14,7,139,68.0,9.0,78.0,phage,gene-PHIKZ_p63
gene-PHIKZ001,5,6,89,78.0,19.0,97.0,phage,gene-PHIKZ001
gene-PHIKZ219,30,34,103,74.0,13.0,169.0,phage,gene-PHIKZ219
gene-PHIKZ077,36,46,2631,1321.0,426.0,1181.0,phage,gene-PHIKZ077
gene-PHIKZ106,160,125,47,26.0,10.0,79.0,phage,gene-PHIKZ106
gene-PHIKZ277,59,58,128,82.0,15.0,118.0,phage,gene-PHIKZ277
gene-PHIKZ123,251,213,1075,674.0,131.0,460.0,phage,gene-PHIKZ123
gene-PHIKZ070,426,427,3117,1596.0,202.0,471.0,phage,gene-PHIKZ070
gene-PHIKZ218,3,6,146,88.0,48.0,164.0,phage,gene-PHIKZ218
gene-PHIKZ_p36,31,34,10,12.0,3.0,30.0,phage,gene-PHIKZ_p36
gene-PHIKZ_p33,42,42,23,11.0,4.0,26.0,phage,gene-PHIKZ_p33
gene-PHIKZ208,96,106,440,286.0,41.0,270.0,phage,gene-PHIKZ208
gene-PHIKZ_p08,22,19,134,82.0,94.0,391.0,phage,gene-PHIKZ_p08
gene-PHIKZ289,73,62,111,48.0,7.0,147.0,phage,gene-PHIKZ289
gene-PHIKZ157,18,11,80,58.0,210.0,797.0,phage,gene-PHIKZ157
gene-PHIKZ_p82,2,5,1,5.0,0.0,16.0,phage,gene-PHIKZ_p82
gene-PHIKZ293,0,2,201,113.0,14.0,64.0,phage,gene-PHIKZ293
gene-PHIKZ026,22,30,388,177.0,632.0,1362.0,phage,gene-PHIKZ026
gene-PHIKZ291,66,55,61,40.0,6.0,137.0,phage,gene-PHIKZ291
gene-PHIKZ082,23,22,828,531.0,110.0,602.0,phage,gene-PHIKZ082
gene-PHIKZ204,12,11,29,28.0,6.0,79.0,phage,gene-PHIKZ204
gene-PHIKZ201,14,14,165,99.0,82.0,666.0,phage,gene-PHIKZ201
gene-PHIKZ_p67,4,4,8,10.0,2.0,19.0,phage,gene-PHIKZ_p67
gene-PHIKZ040,26,25,159,77.0,15.0,99.0,phage,gene-PHIKZ040
gene-PHIKZ063,14,13,997,576.0,169.0,547.0,phage,gene-PHIKZ063
gene-PHIKZ_p64,22,20,72,39.0,11.0,85.0,phage,gene-PHIKZ_p64
gene-PHIKZ_p66,3,1,14,12.0,0.0,30.0,phage,gene-PHIKZ_p66
gene-PHIKZ295,10,7,42,27.0,6.0,84.0,phage,gene-PHIKZ295
gene-PHIKZ172,30,35,160,95.0,11.0,104.0,phage,gene-PHIKZ172
gene-PHIKZ_p12,7,4,39,12.0,3.0,55.0,phage,gene-PHIKZ_p12
gene-PHIKZ_t03,15,13,38,14.0,8.0,69.0,phage,gene-PHIKZ_t03
gene-PHIKZ096,15,24,316,160.0,214.0,838.0,phage,gene-PHIKZ096
gene-PHIKZ169,29,29,19,5.0,52.0,288.0,phage,gene-PHIKZ169
gene-PHIKZ_p38,97,91,139,90.0,7.0,78.0,phage,gene-PHIKZ_p38
gene-PHIKZ186,344,290,1349,740.0,63.0,193.0,phage,gene-PHIKZ186
gene-PHIKZ011,110,103,56,33.0,7.0,47.0,phage,gene-PHIKZ011
gene-PHIKZ_p46,2,5,156,86.0,65.0,199.0,phage,gene-PHIKZ_p46
gene-PHIKZ066,10,12,564,341.0,117.0,454.0,phage,gene-PHIKZ066
gene-PHIKZ276,44,47,80,55.0,11.0,122.0,phage,gene-PHIKZ276
gene-PHIKZ143,3,2,43,25.0,74.0,280.0,phage,gene-PHIKZ143
gene-PHIKZ_p57,54,28,342,203.0,19.0,165.0,phage,gene-PHIKZ_p57
gene-PHIKZ_p11,2,3,20,11.0,7.0,37.0,phage,gene-PHIKZ_p11
gene-PHIKZ134,22,20,419,219.0,303.0,1077.0,phage,gene-PHIKZ134
gene-PHIKZ_p65,1,7,48,29.0,1.0,43.0,phage,gene-PHIKZ_p65
gene-PHIKZ049,73,51,262,141.0,58.0,248.0,phage,gene-PHIKZ049
gene-PHIKZ037,103,98,259,148.0,30.0,176.0,phage,gene-PHIKZ037
gene-PHIKZ129,32,57,782,402.0,317.0,1069.0,phage,gene-PHIKZ129
gene-PHIKZ097,45,49,2053,1007.0,1485.0,3795.0,phage,gene-PHIKZ097
gene-PHIKZ048,38,25,67,59.0,12.0,73.0,phage,gene-PHIKZ048
gene-PHIKZ197,3,5,44,25.0,7.0,62.0,phage,gene-PHIKZ197
gene-PHIKZ127,9,5,32,24.0,82.0,315.0,phage,gene-PHIKZ127
gene-PHIKZ095,33,27,1345,660.0,819.0,2132.0,phage,gene-PHIKZ095
gene-PHIKZ_p70,51,32,450,241.0,25.0,115.0,phage,gene-PHIKZ_p70
gene-PHIKZ029,23,49,144,93.0,1549.0,4134.0,phage,gene-PHIKZ029
gene-PHIKZ168,0,7,135,82.0,11.0,93.0,phage,gene-PHIKZ168
gene-PHIKZ_p30,6,20,571,241.0,402.0,996.0,phage,gene-PHIKZ_p30
gene-PHIKZ158,13,13,45,26.0,81.0,276.0,phage,gene-PHIKZ158
gene-PHIKZ_p05,3,3,187,59.0,44.0,143.0,phage,gene-PHIKZ_p05
gene-PHIKZ_p73,92,86,35,18.0,1.0,45.0,phage,gene-PHIKZ_p73
gene-PHIKZ109,82,71,31,20.0,7.0,61.0,phage,gene-PHIKZ109
gene-PHIKZ268,60,55,37,33.0,4.0,60.0,phage,gene-PHIKZ268
gene-PHIKZ_p85,52,69,3247,1814.0,435.0,1275.0,phage,gene-PHIKZ_p85
gene-PHIKZ176,3,6,385,176.0,364.0,1019.0,phage,gene-PHIKZ176
gene-PHIKZ_p24,14,22,9,10.0,4.0,31.0,phage,gene-PHIKZ_p24
gene-PHIKZ258,18,24,153,87.0,12.0,106.0,phage,gene-PHIKZ258
gene-PHIKZ145,30,27,56,30.0,823.0,2393.0,phage,gene-PHIKZ145
gene-PHIKZ057,16,11,34,24.0,6.0,49.0,phage,gene-PHIKZ057
gene-PHIKZ074,406,385,2591,1469.0,178.0,670.0,phage,gene-PHIKZ074
gene-PHIKZ188,470,449,3700,2313.0,393.0,812.0,phage,gene-PHIKZ188
gene-PHIKZ212,57,61,484,305.0,53.0,169.0,phage,gene-PHIKZ212
gene-PHIKZ_p83,9,4,1379,679.0,120.0,310.0,phage,gene-PHIKZ_p83
gene-PHIKZ071,140,103,770,480.0,52.0,283.0,phage,gene-PHIKZ071
gene-PHIKZ122,147,127,510,299.0,73.0,312.0,phage,gene-PHIKZ122
gene-PHIKZ280,128,110,176,108.0,11.0,117.0,phage,gene-PHIKZ280
gene-PHIKZ_t06,2,1,3,3.0,0.0,10.0,phage,gene-PHIKZ_t06
gene-PHIKZ059,245,183,940,481.0,101.0,315.0,phage,gene-PHIKZ059
